path,label,speaker_id,fake_level,duration,source_dataset,synthesis_tool,text_id,reference_path
fake\tts_basic\7395\7395_7395_89882_000006_000002_000001.wav,fake,7395,1,27.377,LibriTTS,vits,7395_89882_000006_000002,train\real\LibriTTS\7395\7395_89882_000006_000002_012042.wav
fake\tts_basic\2204\2204_2204_131732_000044_000003_000002.wav,fake,2204,1,15.761,LibriTTS,vits,2204_131732_000044_000003,train\real\LibriTTS\2204\2204_131732_000044_000003_012609.wav
fake\tts_basic\612\612_612_121760_000006_000009_000003.wav,fake,612,1,9.809,LibriTTS,vits,612_121760_000006_000009,train\real\LibriTTS\612\612_121760_000006_000009_011656.wav
fake\tts_basic\707\707_707_138866_000014_000004_000004.wav,fake,707,1,12.305,LibriTTS,vits,707_138866_000014_000004,train\real\LibriTTS\707\707_138866_000014_000004_007475.wav
fake\tts_basic\1365\1365_1365_134830_000055_000002_000005.wav,fake,1365,1,34.562,LibriTTS,vits,1365_134830_000055_000002,train\real\LibriTTS\1365\1365_134830_000055_000002_013410.wav
fake\tts_basic\7120\7120_7120_118112_000027_000000_000006.wav,fake,7120,1,19.122,LibriTTS,vits,7120_118112_000027_000000,train\real\LibriTTS\7120\7120_118112_000027_000000_013307.wav
fake\tts_basic\8195\8195_8195_117382_000009_000009_000007.wav,fake,8195,1,7.025,LibriTTS,vits,8195_117382_000009_000009,train\real\LibriTTS\8195\8195_117382_000009_000009_011659.wav
fake\tts_basic\6378\6378_6378_61780_000019_000000_000008.wav,fake,6378,1,14.225,LibriTTS,vits,6378_61780_000019_000000,train\real\LibriTTS\6378\6378_61780_000019_000000_008120.wav
fake\tts_basic\7276\7276_7276_284424_000075_000002_000009.wav,fake,7276,1,13.921,LibriTTS,vits,7276_284424_000075_000002,train\real\LibriTTS\7276\7276_284424_000075_000002_007372.wav
fake\tts_basic\6553\6553_6553_86683_000003_000001_000010.wav,fake,6553,1,11.858,LibriTTS,vits,6553_86683_000003_000001,train\real\LibriTTS\6553\6553_86683_000003_000001_005115.wav
fake\tts_basic\5604\5604_5604_26956_000019_000000_000011.wav,fake,5604,1,11.121,LibriTTS,vits,5604_26956_000019_000000,train\real\LibriTTS\5604\5604_26956_000019_000000_013828.wav
fake\tts_basic\5389\5389_5389_4861_000041_000001_000012.wav,fake,5389,1,11.457,LibriTTS,vits,5389_4861_000041_000001,train\real\LibriTTS\5389\5389_4861_000041_000001_010280.wav
fake\tts_basic\8113\8113_8113_117384_000027_000002_000013.wav,fake,8113,1,15.537,LibriTTS,vits,8113_117384_000027_000002,train\real\LibriTTS\8113\8113_117384_000027_000002_004669.wav
fake\tts_basic\949\949_949_162667_000013_000000_000014.wav,fake,949,1,35.569,LibriTTS,vits,949_162667_000013_000000,train\real\LibriTTS\949\949_162667_000013_000000_011756.wav
fake\tts_basic\7318\7318_7318_96151_000092_000000_000015.wav,fake,7318,1,8.225,LibriTTS,vits,7318_96151_000092_000000,train\real\LibriTTS\7318\7318_96151_000092_000000_012511.wav
fake\tts_basic\242\242_242_126842_000077_000001_000016.wav,fake,242,1,10.257,LibriTTS,vits,242_126842_000077_000001,train\real\LibriTTS\242\242_126842_000077_000001_002958.wav
fake\tts_basic\459\459_459_123443_000058_000001_000017.wav,fake,459,1,28.353,LibriTTS,vits,459_123443_000058_000001,train\real\LibriTTS\459\459_123443_000058_000001_005956.wav
fake\tts_basic\175\175_175_127696_000002_000004_000018.wav,fake,175,1,10.929,LibriTTS,vits,175_127696_000002_000004,train\real\LibriTTS\175\175_127696_000002_000004_011613.wav
fake\tts_basic\249\249_249_121331_000083_000002_000019.wav,fake,249,1,10.305,LibriTTS,vits,249_121331_000083_000002,train\real\LibriTTS\249\249_121331_000083_000002_011583.wav
fake\tts_basic\7816\7816_7816_108621_000004_000004_000020.wav,fake,7816,1,12.977,LibriTTS,vits,7816_108621_000004_000004,train\real\LibriTTS\7816\7816_108621_000004_000004_013148.wav
fake\tts_basic\2004\2004_2004_147967_000007_000003_000021.wav,fake,2004,1,8.785,LibriTTS,vits,2004_147967_000007_000003,train\real\LibriTTS\2004\2004_147967_000007_000003_003353.wav
fake\tts_basic\2673\2673_2673_156474_000004_000002_000022.wav,fake,2673,1,19.729,LibriTTS,vits,2673_156474_000004_000002,train\real\LibriTTS\2673\2673_156474_000004_000002_000490.wav
fake\tts_basic\8142\8142_8142_3967_000007_000004_000023.wav,fake,8142,1,10.785,LibriTTS,vits,8142_3967_000007_000004,train\real\LibriTTS\8142\8142_3967_000007_000004_006887.wav
