path,label,speaker_id,fake_level,duration,source_dataset,synthesis_tool,text_id,reference_path
fake\vc_basic\7395\7395_7395_89882_000006_000002_000001.wav,fake,7395,3,19.729,LibriTTS,your_tts,7395_89882_000006_000002,train\real\LibriTTS\7395\7395_89882_000006_000002_012042.wav
fake\vc_basic\2204\2204_2204_131732_000044_000003_000002.wav,fake,2204,3,8.625,LibriTTS,your_tts,2204_131732_000044_000003,train\real\LibriTTS\2204\2204_131732_000044_000003_012609.wav
fake\vc_basic\612\612_612_121760_000006_000009_000003.wav,fake,612,3,6.321,LibriTTS,your_tts,612_121760_000006_000009,train\real\LibriTTS\612\612_121760_000006_000009_011656.wav
fake\vc_basic\707\707_707_138866_000014_000004_000004.wav,fake,707,3,8.689,LibriTTS,your_tts,707_138866_000014_000004,train\real\LibriTTS\707\707_138866_000014_000004_007475.wav
fake\vc_basic\1365\1365_1365_134830_000055_000002_000005.wav,fake,1365,3,22.962,LibriTTS,your_tts,1365_134830_000055_000002,train\real\LibriTTS\1365\1365_134830_000055_000002_013410.wav
fake\vc_basic\7120\7120_7120_118112_000027_000000_000006.wav,fake,7120,3,15.938,LibriTTS,your_tts,7120_118112_000027_000000,train\real\LibriTTS\7120\7120_118112_000027_000000_013307.wav
fake\vc_basic\8195\8195_8195_117382_000009_000009_000007.wav,fake,8195,3,4.721,LibriTTS,your_tts,8195_117382_000009_000009,train\real\LibriTTS\8195\8195_117382_000009_000009_011659.wav
fake\vc_basic\6378\6378_6378_61780_000019_000000_000008.wav,fake,6378,3,8.481,LibriTTS,your_tts,6378_61780_000019_000000,train\real\LibriTTS\6378\6378_61780_000019_000000_008120.wav
fake\vc_basic\7276\7276_7276_284424_000075_000002_000009.wav,fake,7276,3,10.529,LibriTTS,your_tts,7276_284424_000075_000002,train\real\LibriTTS\7276\7276_284424_000075_000002_007372.wav
fake\vc_basic\6553\6553_6553_86683_000003_000001_000010.wav,fake,6553,3,6.242,LibriTTS,your_tts,6553_86683_000003_000001,train\real\LibriTTS\6553\6553_86683_000003_000001_005115.wav
fake\vc_basic\5604\5604_5604_26956_000019_000000_000011.wav,fake,5604,3,6.209,LibriTTS,your_tts,5604_26956_000019_000000,train\real\LibriTTS\5604\5604_26956_000019_000000_013828.wav
fake\vc_basic\5389\5389_5389_4861_000041_000001_000012.wav,fake,5389,3,9.057,LibriTTS,your_tts,5389_4861_000041_000001,train\real\LibriTTS\5389\5389_4861_000041_000001_010280.wav
fake\vc_basic\8113\8113_8113_117384_000027_000002_000013.wav,fake,8113,3,10.337,LibriTTS,your_tts,8113_117384_000027_000002,train\real\LibriTTS\8113\8113_117384_000027_000002_004669.wav
fake\vc_basic\949\949_949_162667_000013_000000_000014.wav,fake,949,3,19.185,LibriTTS,your_tts,949_162667_000013_000000,train\real\LibriTTS\949\949_162667_000013_000000_011756.wav
fake\vc_basic\7318\7318_7318_96151_000092_000000_000015.wav,fake,7318,3,4.577,LibriTTS,your_tts,7318_96151_000092_000000,train\real\LibriTTS\7318\7318_96151_000092_000000_012511.wav
fake\vc_basic\242\242_242_126842_000077_000001_000016.wav,fake,242,3,6.785,LibriTTS,your_tts,242_126842_000077_000001,train\real\LibriTTS\242\242_126842_000077_000001_002958.wav
fake\vc_basic\459\459_459_123443_000058_000001_000017.wav,fake,459,3,16.545,LibriTTS,your_tts,459_123443_000058_000001,train\real\LibriTTS\459\459_123443_000058_000001_005956.wav
fake\vc_basic\175\175_175_127696_000002_000004_000018.wav,fake,175,3,7.889,LibriTTS,your_tts,175_127696_000002_000004,train\real\LibriTTS\175\175_127696_000002_000004_011613.wav
fake\vc_basic\249\249_249_121331_000083_000002_000019.wav,fake,249,3,5.473,LibriTTS,your_tts,249_121331_000083_000002,train\real\LibriTTS\249\249_121331_000083_000002_011583.wav
fake\vc_basic\7816\7816_7816_108621_000004_000004_000020.wav,fake,7816,3,8.977,LibriTTS,your_tts,7816_108621_000004_000004,train\real\LibriTTS\7816\7816_108621_000004_000004_013148.wav
fake\vc_basic\2004\2004_2004_147967_000007_000003_000021.wav,fake,2004,3,4.865,LibriTTS,your_tts,2004_147967_000007_000003,train\real\LibriTTS\2004\2004_147967_000007_000003_003353.wav
fake\vc_basic\2673\2673_2673_156474_000004_000002_000022.wav,fake,2673,3,13.249,LibriTTS,your_tts,2673_156474_000004_000002,train\real\LibriTTS\2673\2673_156474_000004_000002_000490.wav
fake\vc_basic\8142\8142_8142_3967_000007_000004_000023.wav,fake,8142,3,7.761,LibriTTS,your_tts,8142_3967_000007_000004,train\real\LibriTTS\8142\8142_3967_000007_000004_006887.wav
fake\vc_basic\8401\8401_8401_280380_000075_000000_000024.wav,fake,8401,3,7.121,LibriTTS,your_tts,8401_280380_000075_000000,train\real\LibriTTS\8401\8401_280380_000075_000000_008884.wav
fake\vc_basic\6446\6446_6446_57416_000034_000001_000025.wav,fake,6446,3,10.305,LibriTTS,your_tts,6446_57416_000034_000001,train\real\LibriTTS\6446\6446_57416_000034_000001_011681.wav
fake\vc_basic\4837\4837_4837_285896_000036_000001_000026.wav,fake,4837,3,6.433,LibriTTS,your_tts,4837_285896_000036_000001,train\real\LibriTTS\4837\4837_285896_000036_000001_009182.wav
fake\vc_basic\1054\1054_1054_143005_000083_000004_000027.wav,fake,1054,3,5.841,LibriTTS,your_tts,1054_143005_000083_000004,train\real\LibriTTS\1054\1054_143005_000083_000004_005116.wav
fake\vc_basic\5401\5401_5401_39508_000012_000001_000028.wav,fake,5401,3,9.105,LibriTTS,your_tts,5401_39508_000012_000001,train\real\LibriTTS\5401\5401_39508_000012_000001_013935.wav
fake\vc_basic\6505\6505_6505_231837_000014_000000_000029.wav,fake,6505,3,10.961,LibriTTS,your_tts,6505_231837_000014_000000,train\real\LibriTTS\6505\6505_231837_000014_000000_009835.wav
fake\vc_basic\4856\4856_4856_20410_000059_000001_000030.wav,fake,4856,3,15.745,LibriTTS,your_tts,4856_20410_000059_000001,train\real\LibriTTS\4856\4856_20410_000059_000001_013818.wav
fake\vc_basic\3361\3361_3361_130131_000028_000001_000031.wav,fake,3361,3,7.057,LibriTTS,your_tts,3361_130131_000028_000001,train\real\LibriTTS\3361\3361_130131_000028_000001_010144.wav
fake\vc_basic\3274\3274_3274_167022_000040_000000_000032.wav,fake,3274,3,4.481,LibriTTS,your_tts,3274_167022_000040_000000,train\real\LibriTTS\3274\3274_167022_000040_000000_014051.wav
fake\vc_basic\3551\3551_3551_7887_000026_000002_000033.wav,fake,3551,3,6.305,LibriTTS,your_tts,3551_7887_000026_000002,train\real\LibriTTS\3551\3551_7887_000026_000002_006694.wav
fake\vc_basic\8011\8011_8011_291458_000004_000000_000034.wav,fake,8011,3,18.257,LibriTTS,your_tts,8011_291458_000004_000000,train\real\LibriTTS\8011\8011_291458_000004_000000_003916.wav
