path,label,speaker_id,fake_level,duration,source_dataset,synthesis_tool,text_id,reference_path
fake\vc_simulated\2204\2204_2204_131732_000044_000003_000001.wav,fake,2204,4,9.201,LibriTTS,your_tts_simulated,2204_131732_000044_000003,train\real\LibriTTS\6505\6505_231837_000012_000000_011297.wav
fake\vc_simulated\707\707_707_138866_000014_000004_000002.wav,fake,707,4,8.017,LibriTTS,your_tts_simulated,707_138866_000014_000004,train\real\LibriTTS\1638\1638_84447_000039_000000_000570.wav
fake\vc_simulated\1365\1365_1365_134830_000055_000002_000003.wav,fake,1365,4,31.282,LibriTTS,your_tts_simulated,1365_134830_000055_000002,train\real\LibriTTS\8193\8193_116804_000006_000001_008907.wav
fake\vc_simulated\8195\8195_8195_117382_000009_000009_000004.wav,fake,8195,4,3.841,LibriTTS,your_tts_simulated,8195_117382_000009_000009,train\real\LibriTTS\5189\5189_37999_000006_000000_006345.wav
fake\vc_simulated\6378\6378_6378_61780_000019_000000_000005.wav,fake,6378,4,12.113,LibriTTS,your_tts_simulated,6378_61780_000019_000000,train\real\LibriTTS\5984\5984_56840_000012_000001_006158.wav
fake\vc_simulated\7276\7276_7276_284424_000075_000002_000006.wav,fake,7276,4,8.225,LibriTTS,your_tts_simulated,7276_284424_000075_000002,train\real\LibriTTS\1769\1769_143483_000019_000000_001085.wav
fake\vc_simulated\6553\6553_6553_86683_000003_000001_000007.wav,fake,6553,4,7.01,LibriTTS,your_tts_simulated,6553_86683_000003_000001,train\real\LibriTTS\688\688_1070_000021_000003_012426.wav
fake\vc_simulated\5389\5389_5389_4861_000041_000001_000008.wav,fake,5389,4,6.705,LibriTTS,your_tts_simulated,5389_4861_000041_000001,train\real\LibriTTS\4110\4110_11533_000023_000000_001748.wav
fake\vc_simulated\8113\8113_8113_117384_000027_000002_000009.wav,fake,8113,4,8.625,LibriTTS,your_tts_simulated,8113_117384_000027_000002,train\real\LibriTTS\8142\8142_3966_000032_000000_003355.wav
fake\vc_simulated\949\949_949_162667_000013_000000_000010.wav,fake,949,4,22.193,LibriTTS,your_tts_simulated,949_162667_000013_000000,train\real\LibriTTS\688\688_1070_000012_000002_014732.wav
fake\vc_simulated\7318\7318_7318_96151_000092_000000_000011.wav,fake,7318,4,6.545,LibriTTS,your_tts_simulated,7318_96151_000092_000000,train\real\LibriTTS\7956\7956_245687_000045_000005_009062.wav
fake\vc_simulated\242\242_242_126842_000077_000001_000012.wav,fake,242,4,5.329,LibriTTS,your_tts_simulated,242_126842_000077_000001,train\real\LibriTTS\5093\5093_29101_000037_000001_004619.wav
fake\vc_simulated\175\175_175_127696_000002_000004_000013.wav,fake,175,4,8.625,LibriTTS,your_tts_simulated,175_127696_000002_000004,train\real\LibriTTS\4434\4434_73958_000030_000004_002159.wav
fake\vc_simulated\7816\7816_7816_108621_000004_000004_000014.wav,fake,7816,4,9.841,LibriTTS,your_tts_simulated,7816_108621_000004_000004,train\real\LibriTTS\1779\1779_142733_000024_000002_006830.wav
