path,label,speaker_id,fake_level,duration,source_dataset,audio_base_id
train\real\LibriTTS\716\716_129582_000007_000002_000001.wav,real,716,0,9.305,LibriTTS,716_129582_000007_000002
train\real\LibriTTS\3851\3851_9210_000059_000004_000002.wav,real,3851,0,7.999,LibriTTS,3851_9210_000059_000004
train\real\LibriTTS\7011\7011_66622_000025_000006_000003.wav,real,7011,0,5.661,LibriTTS,7011_66622_000025_000006
train\real\LibriTTS\3032\3032_19361_000002_000001_000004.wav,real,3032,0,5.579,LibriTTS,3032_19361_000002_000001
train\real\LibriTTS\4226\4226_12707_000028_000001_000005.wav,real,4226,0,7.259,LibriTTS,4226_12707_000028_000001
train\real\LibriTTS\8605\8605_292138_000018_000004_000006.wav,real,8605,0,8.067,LibriTTS,8605_292138_000018_000004
train\real\LibriTTS\3157\3157_168062_000061_000000_000007.wav,real,3157,0,8.871,LibriTTS,3157_168062_000061_000000
train\real\LibriTTS\7120\7120_76055_000006_000006_000008.wav,real,7120,0,5.123,LibriTTS,7120_76055_000006_000006
train\real\LibriTTS\2562\2562_133442_000014_000007_000009.wav,real,2562,0,5.838,LibriTTS,2562_133442_000014_000007
train\real\LibriTTS\2562\2562_133442_000014_000007_000010.wav,real,2562,0,7.583,LibriTTS,2562_133442_000014_000007
train\real\LibriTTS\3869\3869_699_000049_000001_000011.wav,real,3869,0,7.233,LibriTTS,3869_699_000049_000001
train\real\LibriTTS\1779\1779_142733_000016_000004_000012.wav,real,1779,0,5.741,LibriTTS,1779_142733_000016_000004
train\real\LibriTTS\7247\7247_94108_000011_000002_000013.wav,real,7247,0,8.78,LibriTTS,7247_94108_000011_000002
train\real\LibriTTS\7247\7247_94108_000011_000002_000014.wav,real,7247,0,7.539,LibriTTS,7247_94108_000011_000002
train\real\LibriTTS\7247\7247_101864_000007_000003_000015.wav,real,7247,0,9.694,LibriTTS,7247_101864_000007_000003
train\real\LibriTTS\7247\7247_101864_000007_000003_000016.wav,real,7247,0,6.722,LibriTTS,7247_101864_000007_000003
train\real\LibriTTS\1740\1740_141148_000008_000003_000017.wav,real,1740,0,7.025,LibriTTS,1740_141148_000008_000003
train\real\LibriTTS\7957\7957_39967_000007_000012_000018.wav,real,7957,0,5.164,LibriTTS,7957_39967_000007_000012
train\real\LibriTTS\764\764_132280_000006_000008_000019.wav,real,764,0,5.611,LibriTTS,764_132280_000006_000008
train\real\LibriTTS\764\764_132280_000006_000008_000020.wav,real,764,0,6.522,LibriTTS,764_132280_000006_000008
train\real\LibriTTS\764\764_132280_000006_000008_000021.wav,real,764,0,5.653,LibriTTS,764_132280_000006_000008
train\real\LibriTTS\5606\5606_54667_000017_000001_000022.wav,real,5606,0,5.604,LibriTTS,5606_54667_000017_000001
train\real\LibriTTS\335\335_125945_000021_000000_000023.wav,real,335,0,5.424,LibriTTS,335_125945_000021_000000
train\real\LibriTTS\5266\5266_41151_000047_000000_000024.wav,real,5266,0,7.552,LibriTTS,5266_41151_000047_000000
