path,speaker_id,text,text_id
train\real\LibriTTS\716\716_129582_000007_000002_000001.wav,716,"I was struck especially by the curious movements of the legs of the three swathed and bandaged boatmen,--not stiff they were, but distorted in some odd way, almost as if they were jointed in the wrong place.",716_129582_000007_000002
train\real\LibriTTS\3851\3851_9210_000059_000004_000002.wav,3851,"This particular wayfarer was some considerable way in advance of a company of conscripts on the way to Cherbourg, whom the mayor was expecting to arrive every hour, for it was his duty to distribute their billets.",3851_9210_000059_000004
train\real\LibriTTS\7011\7011_66622_000025_000006_000003.wav,7011,"To morrow night, if Mukoki comes back by then, we shall have some exciting sport with the wolves, and then you will see how Wolf out there does his work!""",7011_66622_000025_000006
train\real\LibriTTS\3032\3032_19361_000002_000001_000004.wav,3032,"Death of Rudolph in sixteen twelve, and subsequent increased misery and misfortune of Kepler.",3032_19361_000002_000001
train\real\LibriTTS\4226\4226_12707_000028_000001_000005.wav,4226,"If you wish for gravy for them, when you have taken them up, stir a little flour into the fat they were fried in; season it with salt, pepper, and mace.",4226_12707_000028_000001
train\real\LibriTTS\8605\8605_292138_000018_000004_000006.wav,8605,"All made way for these swift racing boats, for one of the unwritten rules of the river is that boat crews must not be interfered with while practising.",8605_292138_000018_000004
train\real\LibriTTS\3157\3157_168062_000061_000000_000007.wav,3157,"It was a pleasant little room, this one which she entered, with its low windows looking out toward the river, and its cosy furniture all neatly arranged by Sadie's tasteful fingers.",3157_168062_000061_000000
train\real\LibriTTS\7120\7120_76055_000006_000006_000008.wav,7120,The Commission can't go on now for more than another three weeks.,7120_76055_000006_000006
train\real\LibriTTS\2562\2562_133442_000014_000007_000009.wav,2562,"I never felt such a disappointment as I did in waiting five, ten, fifteen minutes for an explosion that never came. Of course the things were dummies, as I might have guessed from their presence.",2562_133442_000014_000007
train\real\LibriTTS\3869\3869_699_000049_000001_000011.wav,3869,"And as for Grigory Vassilyevitch hearing him and not admitting him, he has been ill ever since yesterday, and Marfa Ignatyevna intends to give him medicine to morrow.",3869_699_000049_000001
train\real\LibriTTS\1779\1779_142733_000016_000004_000012.wav,1779,Thus it happens that we bring this big problem in metaphysics on to the field of observation.,1779_142733_000016_000004
train\real\LibriTTS\7247\7247_94108_000011_000002_000013.wav,7247,"The tragedy is interwoven with the history of the trans Alleghany border; and schoolboys have in many lands and tongues recited the pathetic defense of the poor Mingo, who, more sinned against than sinning, was crushed in the inevitable struggle between savagery and civilization. ""Who is there to mourn for Logan?""",7247_94108_000011_000002
train\real\LibriTTS\7247\7247_101864_000007_000003_000015.wav,7247,"It was said, to be sure, that old Jacob Spencer, who built the house, and who laid the foundations for the Spencer millions, had preferred the side that overlooked the town; and that he spent long hours gloating over the visible results of his thrift and enterprise.",7247_101864_000007_000003
train\real\LibriTTS\1740\1740_141148_000008_000003_000017.wav,1740,"The Gauchos whom I asked, though asserting this to be the case, were unable to account for it, except from the strong attachment which horses have to any locality to which they are accustomed.",1740_141148_000008_000003
train\real\LibriTTS\7957\7957_39967_000007_000012_000018.wav,7957,Intelligence is narrowed to the factors concerned with technical production and marketing of goods.,7957_39967_000007_000012
train\real\LibriTTS\764\764_132280_000006_000008_000019.wav,764,"In studies, whatsoever a man commandeth upon himself, let him set hours for it; but whatsoever is agreeable to his nature, let him take no care for any set times; for his thoughts will fly to it, of themselves; so as the spaces of other business, or studies, will suffice.",764_132280_000006_000008
