utterance_id,file_path,split,label,duration_sec
100,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file100.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.69975
10003,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10003.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.9830625
10014,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10014.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.888625
1002,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file1002.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.89475
10040,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10040.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.814
10042,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10042.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.750125
10043,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10043.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.9925625
10060,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10060.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.8624375
10063,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10063.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.375625
10074,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10074.wav,train,fake,0.865
10074,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10074.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.7024375
10076,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10076.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.9391875
10078,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10078.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.9404375
10095,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10095.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.7338125
10103,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10103.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.95375
10118,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10118.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.9540625
1013,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file1013.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.9295
10132,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10132.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.9748125
10135,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10135.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.8241875
10144,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10144.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.79425
10145,F:\Deepfake-Audio-Detector\datasets\for-dataset\train\fake\file10145.wav_16k.wav_norm.wav_mono.wav_silence.wav,train,fake,0.9099375
